geoid,geoid20,year,denom_adult_pop,voted_count,registered_count,registration_pct,voter_turnout_pct,denom_registered
1400000US06037131024,6037131024,2010,2345,550,1218,51.900002,45.200001,1218
1400000US06037131100,6037131100,2010,2390,979,1761,73.699997,55.599998,1761
1400000US06037131200,6037131200,2010,2916,1012,1901,65.199997,53.200001,1901
1400000US06037131300,6037131300,2010,3570,1006,2092,58.599998,48.099998,2092
1400000US06037131400,6037131400,2010,4136,1054,2243,54.200001,47,2243
1400000US06037131600,6037131600,2010,4211,1108,2381,56.5,46.5,2381
1400000US06037131701,6037131701,2010,3888,931,1998,51.400002,46.599998,1998
1400000US06037131702,6037131702,2010,2608,828,1745,66.900002,47.400002,1745
1400000US06037131801,6037131801,2010,1981,403,960,48.5,42,960
1400000US06037131802,6037131802,2010,1990,405,964,48.400002,42,964
1400000US06037131900,6037131900,2010,3314,1079,2124,64.099998,50.799999,2124
1400000US06037132001,6037132001,2010,2605,938,1761,67.599998,53.299999,1761
1400000US06037132002,6037132002,2010,2420,948,1713,70.800003,55.299999,1713
1400000US06037132101,6037132101,2010,3663,911,1843,50.299999,49.400002,1843
1400000US06037132102,6037132102,2010,4082,1156,2297,56.299999,50.299999,2297
1400000US06037132301,6037132301,2010,2358,529,1111,47.099998,47.599998,1111
1400000US06037132302,6037132302,2010,2420,542,1141,47.099998,47.5,1141
1400000US06037132501,6037132501,2010,2544,597,1287,50.599998,46.400002,1287
1400000US06037132502,6037132502,2010,3105,738,1613,51.900002,45.799999,1613
1400000US06037132700,6037132700,2010,3677,917,1911,52,48,1911
1400000US06037132900,6037132900,2010,2543,973,1903,74.800003,51.099998,1903
1400000US06037133000,6037133000,2010,2994,918,1811,60.5,50.700001,1811
1400000US06037133101,6037133101,2010,1894,528,1128,59.599998,46.799999,1128
1400000US06037133102,6037133102,2010,2444,681,1454,59.5,46.799999,1454
1400000US06037134001,6037134001,2010,2838,368,955,33.700001,38.5,955
1400000US06037134002,6037134002,2010,2297,804,1706,74.300003,47.099998,1706
1400000US06037134101,6037134101,2010,4038,1055,2152,53.299999,49,2152
1400000US06037134103,6037134103,2010,3218,995,1922,59.700001,51.799999,1922
1400000US06037134104,6037134104,2010,3208,757,1639,51.099998,46.200001,1639
1400000US06037134201,6037134201,2010,3198,870,1632,51,53.299999,1632
1400000US06037134302,6037134302,2010,2871,1299,2168,75.5,59.900002,2168
1400000US06037134303,6037134303,2010,3590,1321,2526,70.400002,52.299999,2526
1400000US06037134304,6037134304,2010,2527,794,1434,56.700001,55.400002,1434
1400000US06037134305,6037134305,2010,2489,244,621,24.9,39.299999,621
1400000US06037134306,6037134306,2010,2702,536,1152,42.599998,46.5,1152
1400000US06037134421,6037134421,2010,3049,1721,2684,88,64.099998,2684
1400000US06037134422,6037134422,2010,3765,1646,2932,77.900002,56.099998,2932
1400000US06037134423,6037134423,2010,2891,1642,2560,88.599998,64.099998,2560
1400000US06037134424,6037134424,2010,2293,1150,1784,77.800003,64.5,1784
1400000US06037134520,6037134520,2010,3801,498,1218,32,40.900002,1218
1400000US06037134521,6037134521,2010,1621,135,338,20.9,39.900002,338
1400000US06037134522,6037134522,2010,2588,407,1049,40.5,38.799999,1049
1400000US06037134710,6037134710,2010,3542,320,777,21.9,41.200001,777
1400000US06037134720,6037134720,2010,3601,830,1879,52.200001,44.200001,1879
1400000US06037134801,6037134801,2010,2174,674,1364,62.700001,49.400002,1364
1400000US06037134802,6037134802,2010,2236,693,1403,62.700001,49.400002,1403
1400000US06037134901,6037134901,2010,2476,921,1719,69.400002,53.599998,1719
1400000US06037134904,6037134904,2010,3350,786,1639,48.900002,48,1639
1400000US06037134905,6037134905,2010,1466,298,635,43.299999,46.900002,635
1400000US06037134906,6037134906,2010,845,166,486,100,34.200001,486
1400000US06037134907,6037134907,2010,1894,372,1088,57.400002,34.200001,1088
1400000US06037135102,6037135102,2010,2360,1191,2066,87.5,57.599998,2066
1400000US06037135111,6037135111,2010,2346,881,1665,71,52.900002,1665
1400000US06037135113,6037135113,2010,2081,465,1071,51.5,43.400002,1071
1400000US06037135115,6037135115,2010,972,237,494,100,48,494
1400000US06037135116,6037135116,2010,2729,665,1388,50.900002,47.900002,1388
1400000US06037135201,6037135201,2010,1733,908,1558,89.900002,58.299999,1558
1400000US06037135202,6037135202,2010,3444,1695,2700,78.400002,62.799999,2700
1400000US06037135204,6037135204,2010,2336,1174,1890,80.900002,62.099998,1890
1400000US06037135205,6037135205,2010,3325,1671,2689,80.900002,62.099998,2689
1400000US06037137000,6037137000,2010,,0,0,100,,0
1400000US06037137103,6037137103,2010,2991,1030,2121,70.900002,48.599998,2121
1400000US06037137104,6037137104,2010,2252,988,1760,78.199997,56.099998,1760
1400000US06037137202,6037137202,2010,1797,689,1251,69.599998,55.099998,1251
1400000US06037137203,6037137203,2010,2322,891,1617,69.599998,55.099998,1617
1400000US06037137301,6037137301,2010,1737,964,1495,86.099998,64.5,1495
1400000US06037137302,6037137302,2010,3584,2052,3130,87.300003,65.599998,3130
1400000US06037137401,6037137401,2010,3208,1533,2593,80.800003,59.099998,2593
1400000US06037137402,6037137402,2010,4258,2070,3542,83.199997,58.400002,3542
1400000US06037137501,6037137501,2010,2696,1113,2059,76.400002,54.099998,2059
1400000US06037137502,6037137502,2010,3074,1488,2753,89.599998,54.099998,2753
1400000US06037137504,6037137504,2010,1497,891,1369,91.400002,65.099998,1369
1400000US06037138000,6037138000,2010,3529,1962,3094,87.699997,63.400002,3094
1400000US06037139001,6037139001,2010,3665,1524,2795,76.300003,54.5,2795
1400000US06037139200,6037139200,2010,4459,1287,2724,61.099998,47.200001,2724
1400000US06037139301,6037139301,2010,3682,1517,2721,73.900002,55.799999,2721
1400000US06037139302,6037139302,2010,3713,728,1759,47.400002,41.400002,1759
1400000US06037139303,6037139303,2010,3564,793,1717,48.200001,46.200001,1717
1400000US06037139401,6037139401,2010,2315,633,1382,59.700001,45.799999,1382
1400000US06037139402,6037139402,2010,2398,959,1618,67.5,59.299999,1618
1400000US06037139502,6037139502,2010,2088,847,1605,76.900002,52.799999,1605
1400000US06037139504,6037139504,2010,3010,817,1682,55.900002,48.599998,1682
1400000US06037139505,6037139505,2010,2019,554,1140,56.5,48.599998,1140
1400000US06037139506,6037139506,2010,2177,597,1230,56.5,48.5,1230
1400000US06037139600,6037139600,2010,4043,1834,3087,76.400002,59.400002,3087
1400000US06037139701,6037139701,2010,3929,2158,3494,88.900002,61.799999,3494
1400000US06037139703,6037139703,2010,2163,769,1369,63.299999,56.200001,1369
1400000US06037139704,6037139704,2010,3220,2078,3296,100,63,3296
1400000US06037139705,6037139705,2010,1542,995,1579,100,63,1579
1400000US06037139801,6037139801,2010,2305,1656,2472,100,67,2472
1400000US06037139802,6037139802,2010,2936,1767,2747,93.599998,64.300003,2747
1400000US06037141101,6037141101,2010,3524,1860,3523,100,52.799999,3523
1400000US06037141102,6037141102,2010,2300,474,732,31.799999,64.800003,732
1400000US06037141201,6037141201,2010,3383,1036,2157,63.799999,48,2157
1400000US06037141202,6037141202,2010,2042,1010,1778,87.099998,56.799999,1778
1400000US06037141303,6037141303,2010,2812,886,1686,60,52.599998,1686
1400000US06037141304,6037141304,2010,2755,902,1634,59.299999,55.200001,1634
1400000US06037141305,6037141305,2010,2788,932,1789,64.199997,52.099998,1789
1400000US06037141306,6037141306,2010,2390,804,1539,64.400002,52.200001,1539
1400000US06037141400,6037141400,2010,3598,1799,3022,84,59.5,3022
1400000US06037141500,6037141500,2010,2163,1403,2120,98,66.199997,2120
1400000US06037141600,6037141600,2010,3006,2009,3010,100,66.699997,3010
