X,Y,OBJECTID,VCID,VC_Site_Name,VC_Site_Room,VC_Site_address,VC_Site_city,VC_Site_ZIP,Voting_Period_Type,number_of_BMDs,VC_Size
-13132305.5794,4035789.4473,3859,12366,Bassett Adult School,Auditorium,943 Sunkist Ave,La Puente,91746,4 Day,,
-13156370.779,4009819.5704,3860,2548,United With Hope,Social Hall,5600 Linden Ave,Long Beach,90805,11 Day,,
-13162736.0082,4024574.8679,3861,2332,Franklin D Roosevelt Park,Gymnasium,7600 Graham Ave,Los Angeles,90001,11 Day,,
-13164961.0034,4003691.3601,3862,12817,Scottsdale Townhouses,Grand Hall,23400 Avalon Blvd,Carson,90745,4 Day,,
-13156442.4844,4044107.476,3863,9588,Arroyo Seco Library,Meeting Room,6145 N Figueroa St,Los Angeles,90042,11 Day,,
-13202897.679,4040910.9312,3864,150,Topanga Library,Meeting Room,122 N Topanga Canyon Blvd,Topanga,90290,4 Day,,
-13174819.8423,4041210.8955,3865,9057,Plummer Park Community Center,Fiesta Hall,7377 Santa Monica Blvd,West Hollywood,90046,11 Day,,
-13160465.5016,4000953.9096,3866,9373,Century Villages at Cabrillo,Social Hall,2001 River Ave,Long Beach,90810,4 Day,,
-13144989.8291,4021426.9659,3867,4629,Town Center Hall,Social Hall,11740 Telegraph Rd,Santa Fe Springs,90670,4 Day,,
-13170070.7863,4030676.6269,3868,3602,MLK Jr Therapeutic Recreation Center,Community Room,3916 S Western Ave,Los Angeles,90062,4 Day,,
-13174547.2293,3999698.9539,3869,6389,South Coast Botanic Garden,Frances Young Hall,26300 Crenshaw Blvd,Palos Verdes Estates,90274,11 Day,,
-13160663.4989,4024394.2815,3870,6803,Walnut Park Elementary School,Multi-Purpose Room,2642 Olive St ,Walnut Park,90255,4 Day,,
-13177851.1881,3997479.8267,3871,14445,Ridgecrest Intermediate School,Auditorium,28915 Northbay Rd,Rancho Palos Verdes,90275,4 Day,,
-13158846.5549,4016547.9016,3872,14223,Shiekh Compton Community Center,Community Center,1900 N Long Beach Blvd,Compton,90221,4 Day,,
-13152769.9031,4032625.4747,3873,12765,4th Street Elementary School,Auditorium,420 Amalia Ave,Los Angeles,90022,4 Day,,
-13138354.7633,4036907.8224,3874,14412,Mountain View Family Center,Central Room and Room 1,2740 Mountain View Rd,El Monte,91732,4 Day,,
-13188027.7945,4059857.472,3875,5896,Langdon Avenue Elementary School,Auditorium,8817 Langdon Ave,North Hills,91343,4 Day,,
-13151850.6351,4037959.1456,3876,12865,Granada Park,Activity Room,2000 W Hellman Ave,Alhambra,91803,4 Day,,
-13172901.6911,4031946.6009,3877,11728,West Angeles Church of God in Christ,South Lobby,3600 Crenshaw Blvd,Los Angeles,90016,4 Day,,
-13185222.0078,4025766.1717,3878,13359,Burton Chace Park,Community Building,13650 Mindanao Way,Marina Del Rey,90292,4 Day,,
-13158113.3355,4021304.5851,3879,13264,Leland R Weaver Library,Meeting Room,4035 Tweedy Blvd,South Gate,90280,4 Day,,
-13165688.2785,4009588.6039,3880,10465,Victoria Community Regional Park,Multi-Purpose Room,419 Martin Luther King Jr St,Carson,90746,11 Day,,
-13146859.2903,4009642.8006,3881,11754,Liberty II Facility,Multi-Purpose Room,19033 Studebaker Rd,Cerritos,90703,4 Day,,
